date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:23	395/395	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2002:15:22%20GMT	http://saogoncalodoamarante.ce.gov.br/robots.txt		(from )
23:15:29	114256/114256	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:15:23%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.html	(from )
23:15:34	536614/536614	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Dec%202021%2022:23:39%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/yt-assets/4e8eada05f2a0196de6097474f147d5a.css	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/yt-assets/4e8eada05f2a0196de6097474f147d5a.css	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:38	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Meus%20Sites/PMSGA/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:39	17209/17209	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2002%20Jan%202022%2002:15:34%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php?format=feed&type=rss	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/indexc0d0.php	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:40	12958/12958	---M-Z	200	added ('OK')	text/css	etag:W/%22329e-1wOJAagQuNE/7gtwvi6JZA3p41M%22	https://cdn.jsdelivr.net/npm/simple-line-icons@2.4.1/css/simple-line-icons.css	C:/Meus%20Sites/PMSGA/cdn.jsdelivr.net/npm/simple-line-icons@2.4.1/css/simple-line-icons.css	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:41	53689/53689	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2020:22:19%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/components/com_k2/css/k2.css?v=2.10.3&b=20200429	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/components/com_k2/css/k240c7.css	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:43	8469/8469	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Jun%202020%2020:23:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/media/k2/assets/js/k2.frontend.js?v=2.10.3&b=20200429&sitepath=/portal/	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/media/k2/assets/js/k2.frontend2313.js	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:44	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22125fb6f2990e0a746557d019d5cd7672%22	http://connect.facebook.net/pt_BR/all.js	C:/Meus%20Sites/PMSGA/connect.facebook.net/pt_BR/all.js	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:45	86659/86659	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Jun%202020%2002:55:26%20GMT	http://www.saogoncalodoamarante.ce.gov.br/acessibilidade-master/js/jquery-3.2.1.min.js	C:/Meus%20Sites/PMSGA/www.saogoncalodoamarante.ce.gov.br/acessibilidade-master/js/jquery-3.2.1.min.js	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:45	1467/1467	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Jun%202020%2017:18:26%20GMT	http://www.saogoncalodoamarante.ce.gov.br/acessibilidade-master/fonte.js	C:/Meus%20Sites/PMSGA/www.saogoncalodoamarante.ce.gov.br/acessibilidade-master/fonte.js	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:46	35090/35090	---MC-	200	added ('OK')	application/atom+xml	date:Sun,%2002%20Jan%202022%2002:15:38%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php?format=feed&type=atom	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index7b17.php	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:49	27810/27810	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:15:45%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/mapa-do-site	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/mapa-do-site.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:57	114266/114266	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:15:45%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/index.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:57	63931/63931	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:15:49%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/lrf	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/lrf.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:15:57	55821/55821	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2014:05:51%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/braso-sga-carimbo-hor-oficial.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/braso-sga-carimbo-hor-oficial.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:00	31208/31208	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:15:57%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/area-do-servidor	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/area-do-servidor.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:10	266401/266401	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Dec%202021%2022:23:39%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/yt-assets/865cdd85c94c06a419c8de80a6dd63ed.js	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/yt-assets/865cdd85c94c06a419c8de80a6dd63ed.js	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:11	148103/148103	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202020%2020:27:50%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/destaques/logoinstagram.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/destaques/logoinstagram.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:14	4298/4298	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202020%2020:27:21%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/face_branco2.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/face_branco2.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:18	26518/26518	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:14%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/about	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/about.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:19	25550/25550	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:15%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/a-prefeitura	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/a-prefeitura.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:21	25789/25789	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:17%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/a-prefeitura/o-prefeito	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/a-prefeitura/o-prefeito.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:23	12412/12412	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:20%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/inicio-transparencia	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/inicio-transparencia.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:23	44735/44735	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:18%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:27	33329/33329	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:22%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/transparencia-municipal/legislacao-municipal	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/transparencia-municipal/legislacao-municipal.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:28	30905/30905	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:23%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/transparencia-municipal/publicacoes	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/transparencia-municipal/publicacoes.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:29	115748/115748	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jun%202021%2013:05:08%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/images/logo_escura_HORIZONTAL.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/images/logo_escura_HORIZONTAL.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:29	22611/22611	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:26%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/declaracao-de-vinculo	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/declaracao-de-vinculo.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:30	24897/24897	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:27%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/carta-de-servicos-ao-usuario	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/carta-de-servicos-ao-usuario.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:33	32274/32274	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:29%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/minha-casa-minha-vida	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/minha-casa-minha-vida.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:34	24793/24793	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:30%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2017	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2017.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:34	24359/24359	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:30%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2018	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2018.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:35	24337/24337	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:32%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2020	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2020.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:37	22578/22578	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:33%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2021	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/dirf-2021.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:38	25271/25271	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:34%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/contra-cheque-online	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/contra-cheque-online.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:40	35415/35415	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:35%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/concursos.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:41	32055/32055	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:36%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/chamamento-publico	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/chamamento-publico.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:42	26845/26845	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:38%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/2021-06-07-18-44-19	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/servicos-sao-goncalo/2021-06-07-18-44-19.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:44	39252/39252	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:16:39%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/secretarias	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/secretarias.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:16:44	1551/1551	---MC-	404	error ('Contato%20n%c3%a3o%20encontrado')	text/html	date:Sun,%2002%20Jan%202022%2002:16:41%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/fale-conosco/assessoria	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/fale-conosco/assessoria	(from http://saogoncalodoamarante.ce.gov.br/portal/)
